Current (A),Voltage (V)
11.115,0.0
11.114766121558372,0.0013466933867735472
11.114532243116745,0.0026933867735470943
11.114298364675117,0.004040080160320641
11.114064486233486,0.005386773547094189
11.11383060779186,0.006733466933867735
11.113596729350231,0.008080160320641282
11.113362850908603,0.009426853707414829
11.113128972466974,0.010773547094188377
11.112895094025347,0.012120240480961922
11.112661215583719,0.01346693386773547
11.11242733714209,0.014813627254509017
11.112193458700462,0.016160320641282564
11.111959580258834,0.01750701402805611
11.111725701817205,0.018853707414829658
11.111491823375578,0.020200400801603208
11.11125794493395,0.021547094188376754
11.111024066492321,0.0228937875751503
11.110790188050693,0.024240480961923844
11.110556309609064,0.025587174348697395
11.110322431167436,0.02693386773547094
11.110088552725808,0.028280561122244488
11.10985467428418,0.029627254509018035
11.109620795842552,0.030973947895791585
11.109386917400924,0.03232064128256513
11.109153038959295,0.033667334669338675
11.108919160517667,0.03501402805611222
11.108685282076038,0.036360721442885775
11.108451403634412,0.037707414829659315
11.108217525192783,0.03905410821643286
11.107983646751155,0.040400801603206415
11.107749768309526,0.041747494989979955
11.107515889867898,0.04309418837675351
11.10728201142627,0.044440881763527056
11.10704813298464,0.0457875751503006
11.106814254543014,0.04713426853707415
11.106580376101386,0.04848096192384769
11.106346497659757,0.04982765531062124
11.106112619218129,0.05117434869739479
11.1058787407765,0.052521042084168336
11.105644862334872,0.05386773547094188
11.105410983893245,0.055214428857715436
11.105177105451617,0.056561122244488976
11.104943227009988,0.05790781563126252
11.10470934856836,0.05925450901803607
11.104475470126731,0.060601202404809616
11.104241591685103,0.06194789579158317
11.104007713243474,0.06329458917835672
11.103773834801848,0.06464128256513026
11.103539956360219,0.0659879759519038
11.10330607791859,0.06733466933867735
11.103072199476962,0.0686813627254509
11.102838321035334,0.07002805611222444
11.102604442593705,0.071374749498998
11.102370564152078,0.07272144288577155
11.10213668571045,0.07406813627254509
11.101902807268822,0.07541482965931863
11.101668928827193,0.07676152304609218
11.101435050385565,0.07810821643286572
11.101201171943936,0.07945490981963928
11.100967293502308,0.08080160320641283
11.100733415060681,0.08214829659318637
11.100499536619052,0.08349498997995991
11.100265658177424,0.08484168336673346
11.100031779735797,0.08618837675350702
11.099797901294167,0.08753507014028056
11.099564022852539,0.08888176352705411
11.099330144410912,0.09022845691382765
11.099096265969283,0.0915751503006012
11.098862387527655,0.09292184368737476
11.098628509086026,0.0942685370741483
11.0983946306444,0.09561523046092184
11.09816075220277,0.09696192384769538
11.097926873761141,0.09830861723446893
11.097692995319514,0.09965531062124248
11.097459116877886,0.10100200400801602
11.097225238436257,0.10234869739478958
11.09699135999463,0.10369539078156312
11.096757481553002,0.10504208416833667
11.096523603111374,0.10638877755511023
11.096289724669745,0.10773547094188377
11.096055846228117,0.10908216432865732
11.095821967786488,0.11042885771543087
11.09558808934486,0.11177555110220441
11.095354210903233,0.11312224448897795
11.095120332461605,0.11446893787575149
11.094886454019976,0.11581563126252505
11.094652575578348,0.11716232464929859
11.09441869713672,0.11850901803607214
11.09418481869509,0.11985571142284569
11.093950940253464,0.12120240480961923
11.093717061811835,0.12254909819639279
11.093483183370207,0.12389579158316634
11.093249304928579,0.1252424849699399
11.09301542648695,0.12658917835671343
11.092781548045322,0.12793587174348697
11.092547669603693,0.1292825651302605
11.092313791162066,0.13062925851703405
11.092079912720436,0.1319759519038076
11.091846034278808,0.13332264529058116
11.091612155837181,0.1346693386773547
11.091378277395552,0.13601603206412824
11.091144398953922,0.1373627254509018
11.090910520512294,0.13870941883767535
11.090676642070665,0.1400561122244489
11.090442763629037,0.14140280561122245
11.090208885187407,0.142749498997996
11.089975006745778,0.14409619238476953
11.08974112830415,0.1454428857715431
11.089507249862518,0.1467895791583166
11.089273371420889,0.14813627254509018
11.089039492979259,0.14948296593186372
11.088805614537627,0.15082965931863726
11.088571736095997,0.15217635270541083
11.088337857654363,0.15352304609218437
11.088103979212729,0.1548697394789579
11.087870100771095,0.15621643286573145
11.08763622232946,0.15756312625250501
11.087402343887822,0.15890981963927855
11.087168465446183,0.1602565130260521
11.086934587004542,0.16160320641282566
11.086700708562898,0.1629498997995992
11.08646683012125,0.16429659318637274
11.086232951679602,0.16564328657314628
11.085999073237945,0.16698997995991982
11.085765194796284,0.1683366733466934
11.085531316354619,0.16968336673346693
11.085297437912944,0.17103006012024047
11.085063559471264,0.17237675350701404
11.084829681029571,0.17372344689378758
11.084595802587867,0.17507014028056112
11.084361924146148,0.17641683366733468
11.084128045704412,0.17776352705410822
11.083894167262661,0.17911022044088176
11.083660288820884,0.1804569138276553
11.083426410379081,0.18180360721442887
11.08319253193725,0.1831503006012024
11.08295865349538,0.18449699398797595
11.082724775053471,0.18584368737474952
11.082490896611512,0.18719038076152306
11.082257018169498,0.1885370741482966
11.082023139727417,0.1898837675350701
11.08178926128526,0.19123046092184368
11.081555382843016,0.19257715430861722
11.08132150440067,0.19392384769539076
11.081087625958205,0.19527054108216432
11.080853747515606,0.19661723446893786
11.080619869072848,0.1979639278557114
11.080385990629908,0.19931062124248497
11.080152112186761,0.2006573146292585
11.079918233743372,0.20200400801603205
11.079684355299708,0.20335070140280562
11.079450476855726,0.20469739478957916
11.079216598411378,0.2060440881763527
11.078982719966612,0.20739078156312624
11.078748841521369,0.2087374749498998
11.078514963075575,0.21008416833667334
11.078281084629156,0.21143086172344688
11.078047206182019,0.21277755511022045
11.077813327734065,0.214124248496994
11.077579449285174,0.21547094188376753
11.077345570835222,0.2168176352705411
11.077111692384056,0.21816432865731464
11.07687781393151,0.21951102204408818
