vset	V(vcell+)	V(vcell-)	I(R3)
8.800000000000006e-02	7.133586e-01	-2.210065e-03	4.399927e-01
8.900000000000007e-02	7.133316e-01	-2.235627e-03	4.449927e-01
9.000000000000007e-02	7.133047e-01	-2.261194e-03	4.499927e-01
9.100000000000007e-02	7.132777e-01	-2.286776e-03	4.549927e-01
9.200000000000007e-02	7.132508e-01	-2.312367e-03	4.599927e-01
9.300000000000007e-02	7.132238e-01	-2.337966e-03	4.649927e-01
9.400000000000007e-02	7.131968e-01	-2.363580e-03	4.699927e-01
9.500000000000007e-02	7.131698e-01	-2.389199e-03	4.749926e-01
9.600000000000007e-02	7.131428e-01	-2.414830e-03	4.799926e-01
9.700000000000007e-02	7.131157e-01	-2.440473e-03	4.849926e-01
9.800000000000007e-02	7.130886e-01	-2.466125e-03	4.899926e-01
9.900000000000007e-02	7.130616e-01	-2.491788e-03	4.949926e-01
1.000000000000001e-01	7.130345e-01	-2.517459e-03	4.999926e-01
1.010000000000001e-01	7.130075e-01	-2.543143e-03	5.049926e-01
1.020000000000001e-01	7.129804e-01	-2.568836e-03	5.099925e-01
1.030000000000001e-01	7.129533e-01	-2.594540e-03	5.149925e-01
1.040000000000001e-01	7.129261e-01	-2.620252e-03	5.199925e-01
1.050000000000001e-01	7.128990e-01	-2.645977e-03	5.249925e-01
1.060000000000001e-01	7.128719e-01	-2.671711e-03	5.299925e-01
1.070000000000001e-01	7.128447e-01	-2.697459e-03	5.349925e-01
1.080000000000001e-01	7.128176e-01	-2.723215e-03	5.399925e-01
1.090000000000001e-01	7.127904e-01	-2.748979e-03	5.449925e-01
1.100000000000001e-01	7.127632e-01	-2.774755e-03	5.499925e-01
1.110000000000001e-01	7.127361e-01	-2.800543e-03	5.549924e-01
1.120000000000001e-01	7.127088e-01	-2.826341e-03	5.599924e-01
1.130000000000001e-01	7.126817e-01	-2.852150e-03	5.649924e-01
1.140000000000001e-01	7.126544e-01	-2.877967e-03	5.699924e-01
1.150000000000001e-01	7.126272e-01	-2.903796e-03	5.749924e-01
1.160000000000001e-01	7.125999e-01	-2.929633e-03	5.799924e-01
1.170000000000001e-01	7.125726e-01	-2.955482e-03	5.849924e-01
1.180000000000001e-01	7.125454e-01	-2.981344e-03	5.899924e-01
1.190000000000001e-01	7.125181e-01	-3.007213e-03	5.949924e-01
1.200000000000001e-01	7.124908e-01	-3.033096e-03	5.999924e-01
1.210000000000001e-01	7.124635e-01	-3.058986e-03	6.049923e-01
1.220000000000001e-01	7.124361e-01	-3.084888e-03	6.099923e-01
1.230000000000001e-01	7.124088e-01	-3.110801e-03	6.149923e-01
1.240000000000001e-01	7.123815e-01	-3.136723e-03	6.199923e-01
1.250000000000001e-01	7.123541e-01	-3.162656e-03	6.249923e-01
1.260000000000001e-01	7.123268e-01	-3.188599e-03	6.299923e-01
1.270000000000001e-01	7.122994e-01	-3.214553e-03	6.349923e-01
1.280000000000001e-01	7.122720e-01	-3.240518e-03	6.399923e-01
1.290000000000001e-01	7.122446e-01	-3.266496e-03	6.449923e-01
1.300000000000001e-01	7.122172e-01	-3.292479e-03	6.499923e-01
1.310000000000001e-01	7.121898e-01	-3.318477e-03	6.549922e-01
1.320000000000001e-01	7.121623e-01	-3.344484e-03	6.599922e-01
1.330000000000001e-01	7.121349e-01	-3.370502e-03	6.649922e-01
1.340000000000001e-01	7.121074e-01	-3.396530e-03	6.699922e-01
1.350000000000001e-01	7.120799e-01	-3.422569e-03	6.749922e-01
1.360000000000001e-01	7.120525e-01	-3.448619e-03	6.799922e-01
1.370000000000001e-01	7.120250e-01	-3.474679e-03	6.849922e-01
1.380000000000001e-01	7.119974e-01	-3.500751e-03	6.899922e-01
1.390000000000001e-01	7.119699e-01	-3.526832e-03	6.949922e-01
1.400000000000001e-01	7.119424e-01	-3.552926e-03	6.999922e-01
1.410000000000001e-01	7.119149e-01	-3.579027e-03	7.049922e-01
1.420000000000001e-01	7.118873e-01	-3.605139e-03	7.099921e-01
1.430000000000001e-01	7.118598e-01	-3.631264e-03	7.149921e-01
1.440000000000001e-01	7.118322e-01	-3.657399e-03	7.199921e-01
1.450000000000001e-01	7.118046e-01	-3.683545e-03	7.249921e-01
1.460000000000001e-01	7.117770e-01	-3.709699e-03	7.299921e-01
1.470000000000001e-01	7.117494e-01	-3.735865e-03	7.349921e-01
1.480000000000001e-01	7.117217e-01	-3.762047e-03	7.399921e-01
1.490000000000001e-01	7.116941e-01	-3.788232e-03	7.449921e-01
1.500000000000001e-01	7.116665e-01	-3.814430e-03	7.499921e-01
1.510000000000001e-01	7.116388e-01	-3.840639e-03	7.549921e-01
1.520000000000001e-01	7.116111e-01	-3.866863e-03	7.599921e-01
1.530000000000001e-01	7.115834e-01	-3.893092e-03	7.649920e-01
1.540000000000001e-01	7.115557e-01	-3.919335e-03	7.699920e-01
1.550000000000001e-01	7.115280e-01	-3.945587e-03	7.749920e-01
1.560000000000001e-01	7.115003e-01	-3.971848e-03	7.799920e-01
1.570000000000001e-01	7.114726e-01	-3.998125e-03	7.849920e-01
1.580000000000001e-01	7.114448e-01	-4.024411e-03	7.899920e-01
1.590000000000001e-01	7.114171e-01	-4.050706e-03	7.949920e-01
1.600000000000001e-01	7.113893e-01	-4.077013e-03	7.999920e-01
1.610000000000001e-01	7.113615e-01	-4.103329e-03	8.049920e-01
1.620000000000001e-01	7.113338e-01	-4.129658e-03	8.099920e-01
1.630000000000001e-01	7.113059e-01	-4.155999e-03	8.149920e-01
1.640000000000001e-01	7.112781e-01	-4.182350e-03	8.199919e-01
1.650000000000001e-01	7.112502e-01	-4.208709e-03	8.249919e-01
1.660000000000001e-01	7.112224e-01	-4.235080e-03	8.299919e-01
1.670000000000001e-01	7.111946e-01	-4.261463e-03	8.349919e-01
1.680000000000001e-01	7.111667e-01	-4.287856e-03	8.399919e-01
1.690000000000001e-01	7.111388e-01	-4.314262e-03	8.449919e-01
1.700000000000001e-01	7.111109e-01	-4.340677e-03	8.499919e-01
1.710000000000001e-01	7.110831e-01	-4.367103e-03	8.549919e-01
1.720000000000001e-01	7.110551e-01	-4.393538e-03	8.599918e-01
1.730000000000001e-01	7.110272e-01	-4.419989e-03	8.649918e-01
1.740000000000001e-01	7.109993e-01	-4.446447e-03	8.699918e-01
1.750000000000001e-01	7.109713e-01	-4.472915e-03	8.749918e-01
1.760000000000001e-01	7.109433e-01	-4.499397e-03	8.799918e-01
1.770000000000001e-01	7.109154e-01	-4.525889e-03	8.849918e-01
1.780000000000001e-01	7.108874e-01	-4.552391e-03	8.899918e-01
1.790000000000001e-01	7.108594e-01	-4.578906e-03	8.949918e-01
1.800000000000001e-01	7.108314e-01	-4.605428e-03	8.999918e-01
1.810000000000001e-01	7.108033e-01	-4.631966e-03	9.049917e-01
1.820000000000001e-01	7.107753e-01	-4.658512e-03	9.099917e-01
1.830000000000001e-01	7.107472e-01	-4.685071e-03	9.149917e-01
1.840000000000001e-01	7.107192e-01	-4.711640e-03	9.199917e-01
1.850000000000001e-01	7.106912e-01	-4.738220e-03	9.249917e-01
1.860000000000001e-01	7.106631e-01	-4.764810e-03	9.299917e-01
1.870000000000001e-01	7.106349e-01	-4.791412e-03	9.349917e-01
1.880000000000001e-01	7.106069e-01	-4.818025e-03	9.399917e-01
1.890000000000001e-01	7.105787e-01	-4.844647e-03	9.449916e-01
1.900000000000001e-01	7.105506e-01	-4.871282e-03	9.499916e-01
1.910000000000001e-01	7.105224e-01	-4.897931e-03	9.549916e-01
1.920000000000001e-01	7.104943e-01	-4.924587e-03	9.599916e-01
1.930000000000001e-01	7.104661e-01	-4.951255e-03	9.649916e-01
1.940000000000001e-01	7.104380e-01	-4.977935e-03	9.699916e-01
1.950000000000001e-01	7.104098e-01	-5.004623e-03	9.749916e-01
1.960000000000001e-01	7.103815e-01	-5.031326e-03	9.799916e-01
1.970000000000001e-01	7.103533e-01	-5.058040e-03	9.849916e-01
1.980000000000001e-01	7.103251e-01	-5.084761e-03	9.899916e-01
1.990000000000001e-01	7.102968e-01	-5.111498e-03	9.949916e-01
2.000000000000001e-01	7.102686e-01	-5.138243e-03	9.999916e-01
2.010000000000002e-01	7.102403e-01	-5.165001e-03	1.004992e+00
2.020000000000002e-01	7.102120e-01	-5.191771e-03	1.009992e+00
2.030000000000002e-01	7.101837e-01	-5.218552e-03	1.014992e+00
2.040000000000002e-01	7.101554e-01	-5.245341e-03	1.019992e+00
2.050000000000002e-01	7.101271e-01	-5.272143e-03	1.024992e+00
2.060000000000002e-01	7.100987e-01	-5.298957e-03	1.029992e+00
2.070000000000002e-01	7.100704e-01	-5.325782e-03	1.034992e+00
2.080000000000002e-01	7.100421e-01	-5.352617e-03	1.039991e+00
2.090000000000002e-01	7.100137e-01	-5.379464e-03	1.044991e+00
2.100000000000002e-01	7.099853e-01	-5.406325e-03	1.049991e+00
2.110000000000002e-01	7.099569e-01	-5.433191e-03	1.054991e+00
2.120000000000002e-01	7.099285e-01	-5.460073e-03	1.059991e+00
2.130000000000002e-01	7.099001e-01	-5.486964e-03	1.064991e+00
2.140000000000002e-01	7.098716e-01	-5.513869e-03	1.069991e+00
2.150000000000002e-01	7.098432e-01	-5.540784e-03	1.074991e+00
2.160000000000002e-01	7.098147e-01	-5.567710e-03	1.079991e+00
2.170000000000002e-01	7.097863e-01	-5.594647e-03	1.084991e+00
2.180000000000002e-01	7.097578e-01	-5.621596e-03	1.089991e+00
2.190000000000002e-01	7.097293e-01	-5.648558e-03	1.094991e+00
2.200000000000002e-01	7.097008e-01	-5.675528e-03	1.099991e+00
2.210000000000002e-01	7.096723e-01	-5.702512e-03	1.104991e+00
2.220000000000002e-01	7.096437e-01	-5.729505e-03	1.109991e+00
2.230000000000002e-01	7.096152e-01	-5.756513e-03	1.114991e+00
2.240000000000002e-01	7.095866e-01	-5.783529e-03	1.119991e+00
2.250000000000002e-01	7.095581e-01	-5.810557e-03	1.124991e+00
2.260000000000002e-01	7.095295e-01	-5.837596e-03	1.129991e+00
2.270000000000002e-01	7.095008e-01	-5.864648e-03	1.134991e+00
2.280000000000002e-01	7.094722e-01	-5.891710e-03	1.139991e+00
2.290000000000002e-01	7.094436e-01	-5.918785e-03	1.144991e+00
2.300000000000002e-01	7.094150e-01	-5.945869e-03	1.149991e+00
2.310000000000002e-01	7.093863e-01	-5.972966e-03	1.154991e+00
2.320000000000002e-01	7.093577e-01	-6.000074e-03	1.159991e+00
2.330000000000002e-01	7.093290e-01	-6.027196e-03	1.164991e+00
2.340000000000002e-01	7.093003e-01	-6.054325e-03	1.169991e+00
2.350000000000002e-01	7.092716e-01	-6.081469e-03	1.174991e+00
2.360000000000002e-01	7.092429e-01	-6.108621e-03	1.179991e+00
2.370000000000002e-01	7.092142e-01	-6.135792e-03	1.184991e+00
2.380000000000002e-01	7.091855e-01	-6.162966e-03	1.189991e+00
2.390000000000002e-01	7.091567e-01	-6.190156e-03	1.194991e+00
2.400000000000002e-01	7.091280e-01	-6.217353e-03	1.199991e+00
2.410000000000002e-01	7.090992e-01	-6.244567e-03	1.204991e+00
2.420000000000002e-01	7.090704e-01	-6.271790e-03	1.209991e+00
2.430000000000002e-01	7.090416e-01	-6.299024e-03	1.214991e+00
2.440000000000002e-01	7.090127e-01	-6.326271e-03	1.219991e+00
2.450000000000002e-01	7.089840e-01	-6.353532e-03	1.224991e+00
2.460000000000002e-01	7.089551e-01	-6.380801e-03	1.229991e+00
2.470000000000002e-01	7.089263e-01	-6.408080e-03	1.234991e+00
2.480000000000002e-01	7.088974e-01	-6.435373e-03	1.239991e+00
2.490000000000002e-01	7.088685e-01	-6.462680e-03	1.244991e+00
2.500000000000002e-01	7.088396e-01	-6.489995e-03	1.249991e+00
2.510000000000002e-01	7.088107e-01	-6.517324e-03	1.254991e+00
2.520000000000002e-01	7.087818e-01	-6.544664e-03	1.259991e+00
2.530000000000002e-01	7.087529e-01	-6.572014e-03	1.264991e+00
2.540000000000002e-01	7.087239e-01	-6.599377e-03	1.269991e+00
2.550000000000002e-01	7.086949e-01	-6.626754e-03	1.274991e+00
2.560000000000002e-01	7.086660e-01	-6.654137e-03	1.279991e+00
2.570000000000002e-01	7.086370e-01	-6.681536e-03	1.284991e+00
2.580000000000002e-01	7.086080e-01	-6.708946e-03	1.289991e+00
2.590000000000002e-01	7.085790e-01	-6.736366e-03	1.294991e+00
2.600000000000002e-01	7.085500e-01	-6.763799e-03	1.299991e+00
2.610000000000002e-01	7.085209e-01	-6.791245e-03	1.304991e+00
2.620000000000002e-01	7.084919e-01	-6.818699e-03	1.309991e+00
2.630000000000002e-01	7.084628e-01	-6.846170e-03	1.314991e+00
2.640000000000002e-01	7.084337e-01	-6.873650e-03	1.319991e+00
2.650000000000002e-01	7.084047e-01	-6.901144e-03	1.324991e+00
2.660000000000002e-01	7.083756e-01	-6.928645e-03	1.329991e+00
2.670000000000002e-01	7.083464e-01	-6.956164e-03	1.334991e+00
2.680000000000002e-01	7.083173e-01	-6.983689e-03	1.339991e+00
2.690000000000002e-01	7.082882e-01	-7.011227e-03	1.344991e+00
2.700000000000002e-01	7.082590e-01	-7.038778e-03	1.349991e+00
2.710000000000002e-01	7.082298e-01	-7.066341e-03	1.354991e+00
2.720000000000002e-01	7.082007e-01	-7.093915e-03	1.359991e+00
2.730000000000002e-01	7.081715e-01	-7.121504e-03	1.364991e+00
2.740000000000002e-01	7.081423e-01	-7.149102e-03	1.369991e+00
2.750000000000002e-01	7.081131e-01	-7.176710e-03	1.374991e+00
2.760000000000002e-01	7.080838e-01	-7.204335e-03	1.379991e+00
2.770000000000002e-01	7.080545e-01	-7.231967e-03	1.384991e+00
2.780000000000002e-01	7.080253e-01	-7.259614e-03	1.389991e+00
2.790000000000002e-01	7.079960e-01	-7.287273e-03	1.394991e+00
2.800000000000002e-01	7.079667e-01	-7.314940e-03	1.399991e+00
2.810000000000002e-01	7.079374e-01	-7.342623e-03	1.404991e+00
2.820000000000002e-01	7.079082e-01	-7.370318e-03	1.409991e+00
2.830000000000002e-01	7.078788e-01	-7.398022e-03	1.414991e+00
2.840000000000002e-01	7.078494e-01	-7.425740e-03	1.419991e+00
2.850000000000002e-01	7.078201e-01	-7.453469e-03	1.424991e+00
2.860000000000002e-01	7.077907e-01	-7.481215e-03	1.429991e+00
2.870000000000002e-01	7.077613e-01	-7.508964e-03	1.434991e+00
2.880000000000002e-01	7.077320e-01	-7.536734e-03	1.439991e+00
2.890000000000002e-01	7.077026e-01	-7.564508e-03	1.444991e+00
2.900000000000002e-01	7.076731e-01	-7.592298e-03	1.449991e+00
2.910000000000002e-01	7.076437e-01	-7.620100e-03	1.454991e+00
2.920000000000002e-01	7.076142e-01	-7.647913e-03	1.459991e+00
2.930000000000002e-01	7.075848e-01	-7.675742e-03	1.464991e+00
2.940000000000002e-01	7.075553e-01	-7.703580e-03	1.469991e+00
2.950000000000002e-01	7.075258e-01	-7.731427e-03	1.474991e+00
2.960000000000002e-01	7.074963e-01	-7.759292e-03	1.479991e+00
