vset	V(vmeas)	I(R3)
1.030000000000001e-01	7.155195e-01	5.149925e-01
1.040000000000001e-01	7.155181e-01	5.199925e-01
1.050000000000001e-01	7.155167e-01	5.249925e-01
1.060000000000001e-01	7.155153e-01	5.299925e-01
1.070000000000001e-01	7.155139e-01	5.349925e-01
1.080000000000001e-01	7.155125e-01	5.399925e-01
1.090000000000001e-01	7.155111e-01	5.449925e-01
1.100000000000001e-01	7.155097e-01	5.499925e-01
1.110000000000001e-01	7.155083e-01	5.549924e-01
1.120000000000001e-01	7.155069e-01	5.599924e-01
1.130000000000001e-01	7.155055e-01	5.649924e-01
1.140000000000001e-01	7.155041e-01	5.699924e-01
1.150000000000001e-01	7.155027e-01	5.749924e-01
1.160000000000001e-01	7.155012e-01	5.799924e-01
1.170000000000001e-01	7.154998e-01	5.849924e-01
1.180000000000001e-01	7.154984e-01	5.899924e-01
1.190000000000001e-01	7.154970e-01	5.949924e-01
1.200000000000001e-01	7.154956e-01	5.999924e-01
1.210000000000001e-01	7.154942e-01	6.049923e-01
1.220000000000001e-01	7.154927e-01	6.099923e-01
1.230000000000001e-01	7.154914e-01	6.149923e-01
1.240000000000001e-01	7.154899e-01	6.199923e-01
1.250000000000001e-01	7.154885e-01	6.249923e-01
1.260000000000001e-01	7.154871e-01	6.299923e-01
1.270000000000001e-01	7.154856e-01	6.349923e-01
1.280000000000001e-01	7.154842e-01	6.399923e-01
1.290000000000001e-01	7.154828e-01	6.449923e-01
1.300000000000001e-01	7.154813e-01	6.499923e-01
1.310000000000001e-01	7.154799e-01	6.549922e-01
1.320000000000001e-01	7.154785e-01	6.599922e-01
1.330000000000001e-01	7.154770e-01	6.649922e-01
1.340000000000001e-01	7.154756e-01	6.699922e-01
1.350000000000001e-01	7.154742e-01	6.749922e-01
1.360000000000001e-01	7.154728e-01	6.799922e-01
1.370000000000001e-01	7.154713e-01	6.849922e-01
1.380000000000001e-01	7.154699e-01	6.899922e-01
1.390000000000001e-01	7.154685e-01	6.949922e-01
1.400000000000001e-01	7.154670e-01	6.999922e-01
1.410000000000001e-01	7.154655e-01	7.049922e-01
1.420000000000001e-01	7.154641e-01	7.099921e-01
1.430000000000001e-01	7.154627e-01	7.149921e-01
1.440000000000001e-01	7.154613e-01	7.199921e-01
1.450000000000001e-01	7.154598e-01	7.249921e-01
1.460000000000001e-01	7.154583e-01	7.299921e-01
1.470000000000001e-01	7.154569e-01	7.349921e-01
1.480000000000001e-01	7.154554e-01	7.399921e-01
1.490000000000001e-01	7.154540e-01	7.449921e-01
1.500000000000001e-01	7.154526e-01	7.499921e-01
1.510000000000001e-01	7.154511e-01	7.549921e-01
1.520000000000001e-01	7.154496e-01	7.599921e-01
1.530000000000001e-01	7.154482e-01	7.649920e-01
1.540000000000001e-01	7.154467e-01	7.699920e-01
1.550000000000001e-01	7.154453e-01	7.749920e-01
1.560000000000001e-01	7.154438e-01	7.799920e-01
1.570000000000001e-01	7.154424e-01	7.849920e-01
1.580000000000001e-01	7.154409e-01	7.899920e-01
1.590000000000001e-01	7.154394e-01	7.949920e-01
1.600000000000001e-01	7.154379e-01	7.999920e-01
1.610000000000001e-01	7.154365e-01	8.049920e-01
1.620000000000001e-01	7.154350e-01	8.099920e-01
1.630000000000001e-01	7.154335e-01	8.149920e-01
1.640000000000001e-01	7.154321e-01	8.199919e-01
1.650000000000001e-01	7.154306e-01	8.249919e-01
1.660000000000001e-01	7.154291e-01	8.299919e-01
1.670000000000001e-01	7.154277e-01	8.349919e-01
1.680000000000001e-01	7.154262e-01	8.399919e-01
1.690000000000001e-01	7.154247e-01	8.449919e-01
1.700000000000001e-01	7.154232e-01	8.499919e-01
1.710000000000001e-01	7.154218e-01	8.549919e-01
1.720000000000001e-01	7.154203e-01	8.599918e-01
1.730000000000001e-01	7.154188e-01	8.649918e-01
1.740000000000001e-01	7.154173e-01	8.699918e-01
1.750000000000001e-01	7.154158e-01	8.749918e-01
1.760000000000001e-01	7.154143e-01	8.799918e-01
1.770000000000001e-01	7.154129e-01	8.849918e-01
1.780000000000001e-01	7.154114e-01	8.899918e-01
1.790000000000001e-01	7.154099e-01	8.949918e-01
1.800000000000001e-01	7.154084e-01	8.999918e-01
1.810000000000001e-01	7.154070e-01	9.049917e-01
1.820000000000001e-01	7.154055e-01	9.099917e-01
1.830000000000001e-01	7.154040e-01	9.149917e-01
1.840000000000001e-01	7.154025e-01	9.199917e-01
1.850000000000001e-01	7.154009e-01	9.249917e-01
1.860000000000001e-01	7.153994e-01	9.299917e-01
1.870000000000001e-01	7.153980e-01	9.349917e-01
1.880000000000001e-01	7.153965e-01	9.399917e-01
1.890000000000001e-01	7.153950e-01	9.449916e-01
1.900000000000001e-01	7.153935e-01	9.499916e-01
1.910000000000001e-01	7.153920e-01	9.549916e-01
1.920000000000001e-01	7.153904e-01	9.599916e-01
1.930000000000001e-01	7.153890e-01	9.649916e-01
1.940000000000001e-01	7.153875e-01	9.699916e-01
1.950000000000001e-01	7.153860e-01	9.749916e-01
1.960000000000001e-01	7.153844e-01	9.799916e-01
1.970000000000001e-01	7.153829e-01	9.849916e-01
1.980000000000001e-01	7.153814e-01	9.899916e-01
1.990000000000001e-01	7.153799e-01	9.949916e-01
2.000000000000001e-01	7.153784e-01	9.999916e-01
2.010000000000002e-01	7.153769e-01	1.004992e+00
2.020000000000002e-01	7.153754e-01	1.009992e+00
2.030000000000002e-01	7.153739e-01	1.014992e+00
2.040000000000002e-01	7.153723e-01	1.019992e+00
2.050000000000002e-01	7.153708e-01	1.024992e+00
2.060000000000002e-01	7.153693e-01	1.029992e+00
2.070000000000002e-01	7.153678e-01	1.034992e+00
2.080000000000002e-01	7.153662e-01	1.039991e+00
2.090000000000002e-01	7.153648e-01	1.044991e+00
2.100000000000002e-01	7.153632e-01	1.049991e+00
2.110000000000002e-01	7.153617e-01	1.054991e+00
2.120000000000002e-01	7.153602e-01	1.059991e+00
2.130000000000002e-01	7.153586e-01	1.064991e+00
2.140000000000002e-01	7.153571e-01	1.069991e+00
2.150000000000002e-01	7.153556e-01	1.074991e+00
2.160000000000002e-01	7.153540e-01	1.079991e+00
2.170000000000002e-01	7.153525e-01	1.084991e+00
2.180000000000002e-01	7.153509e-01	1.089991e+00
2.190000000000002e-01	7.153494e-01	1.094991e+00
2.200000000000002e-01	7.153479e-01	1.099991e+00
2.210000000000002e-01	7.153463e-01	1.104991e+00
2.220000000000002e-01	7.153448e-01	1.109991e+00
2.230000000000002e-01	7.153432e-01	1.114991e+00
2.240000000000002e-01	7.153417e-01	1.119991e+00
2.250000000000002e-01	7.153401e-01	1.124991e+00
2.260000000000002e-01	7.153386e-01	1.129991e+00
2.270000000000002e-01	7.153371e-01	1.134991e+00
2.280000000000002e-01	7.153355e-01	1.139991e+00
2.290000000000002e-01	7.153340e-01	1.144991e+00
2.300000000000002e-01	7.153324e-01	1.149991e+00
2.310000000000002e-01	7.153309e-01	1.154991e+00
2.320000000000002e-01	7.153293e-01	1.159991e+00
2.330000000000002e-01	7.153277e-01	1.164991e+00
2.340000000000002e-01	7.153262e-01	1.169991e+00
2.350000000000002e-01	7.153246e-01	1.174991e+00
2.360000000000002e-01	7.153231e-01	1.179991e+00
2.370000000000002e-01	7.153215e-01	1.184991e+00
2.380000000000002e-01	7.153200e-01	1.189991e+00
2.390000000000002e-01	7.153184e-01	1.194991e+00
2.400000000000002e-01	7.153168e-01	1.199991e+00
2.410000000000002e-01	7.153153e-01	1.204991e+00
2.420000000000002e-01	7.153137e-01	1.209991e+00
2.430000000000002e-01	7.153121e-01	1.214991e+00
2.440000000000002e-01	7.153106e-01	1.219991e+00
2.450000000000002e-01	7.153090e-01	1.224991e+00
2.460000000000002e-01	7.153074e-01	1.229991e+00
2.470000000000002e-01	7.153059e-01	1.234991e+00
2.480000000000002e-01	7.153043e-01	1.239991e+00
2.490000000000002e-01	7.153027e-01	1.244991e+00
2.500000000000002e-01	7.153011e-01	1.249991e+00
2.510000000000002e-01	7.152995e-01	1.254991e+00
2.520000000000002e-01	7.152979e-01	1.259991e+00
2.530000000000002e-01	7.152964e-01	1.264991e+00
2.540000000000002e-01	7.152948e-01	1.269991e+00
2.550000000000002e-01	7.152932e-01	1.274991e+00
2.560000000000002e-01	7.152916e-01	1.279991e+00
2.570000000000002e-01	7.152900e-01	1.284991e+00
2.580000000000002e-01	7.152885e-01	1.289991e+00
2.590000000000002e-01	7.152869e-01	1.294991e+00
2.600000000000002e-01	7.152852e-01	1.299991e+00
2.610000000000002e-01	7.152837e-01	1.304991e+00
2.620000000000002e-01	7.152821e-01	1.309991e+00
2.630000000000002e-01	7.152805e-01	1.314991e+00
2.640000000000002e-01	7.152789e-01	1.319991e+00
2.650000000000002e-01	7.152773e-01	1.324991e+00
2.660000000000002e-01	7.152757e-01	1.329991e+00
2.670000000000002e-01	7.152741e-01	1.334991e+00
2.680000000000002e-01	7.152725e-01	1.339991e+00
2.690000000000002e-01	7.152709e-01	1.344991e+00
2.700000000000002e-01	7.152693e-01	1.349991e+00
2.710000000000002e-01	7.152677e-01	1.354991e+00
2.720000000000002e-01	7.152660e-01	1.359991e+00
2.730000000000002e-01	7.152644e-01	1.364991e+00
2.740000000000002e-01	7.152628e-01	1.369991e+00
2.750000000000002e-01	7.152612e-01	1.374991e+00
2.760000000000002e-01	7.152596e-01	1.379991e+00
2.770000000000002e-01	7.152580e-01	1.384991e+00
2.780000000000002e-01	7.152564e-01	1.389991e+00
2.790000000000002e-01	7.152548e-01	1.394991e+00
2.800000000000002e-01	7.152532e-01	1.399991e+00
2.810000000000002e-01	7.152516e-01	1.404991e+00
2.820000000000002e-01	7.152499e-01	1.409991e+00
2.830000000000002e-01	7.152483e-01	1.414991e+00
2.840000000000002e-01	7.152467e-01	1.419991e+00
2.850000000000002e-01	7.152451e-01	1.424991e+00
2.860000000000002e-01	7.152434e-01	1.429991e+00
2.870000000000002e-01	7.152418e-01	1.434991e+00
2.880000000000002e-01	7.152402e-01	1.439991e+00
2.890000000000002e-01	7.152385e-01	1.444991e+00
2.900000000000002e-01	7.152369e-01	1.449991e+00
2.910000000000002e-01	7.152353e-01	1.454991e+00
2.920000000000002e-01	7.152336e-01	1.459991e+00
2.930000000000002e-01	7.152320e-01	1.464991e+00
2.940000000000002e-01	7.152303e-01	1.469991e+00
