ICell,VCell,Cell_Current,Cell_Voltage,Cell_Power
0.0606,2.2828,0.283983713,0.608387892,0.172772253
0.0606,2.2826,0.283983713,0.608328049,0.172755258
0.0606,2.2826,0.283983713,0.608328049,0.172755258
0.0606,2.2824,0.283983713,0.608268206,0.172738264
0.0763,2.2637,0.357114007,0.602672866,0.215222922
0.1393,2.1962,0.650566775,0.582475784,0.378939392
0.1687,2.1714,0.787511401,0.575055226,0.452862547
0.1847,2.1392,0.862039088,0.56542047,0.487414547
0.1978,2.1054,0.923058632,0.555306969,0.512580891
0.2109,2.0691,0.984078176,0.544445427,0.535776863
0.2241,2.0297,1.045563518,0.532656315,0.556926011
0.2368,1.9798,1.10471987,0.517725436,0.571941576
0.2479,1.9224,1.156423453,0.500550436,0.578848263
0.2573,1.8604,1.200208469,0.481999042,0.578499332
0.2644,1.7932,1.23328013,0.461891725,0.569641886
0.2702,1.7231,1.260296417,0.440916681,0.555685713
0.2745,1.6515,1.280325733,0.419492814,0.537087444
0.2779,1.5804,1.296162866,0.398218554,0.516156102
0.2805,1.5077,1.308273616,0.376465549,0.492519945
0.2826,1.4361,1.318055375,0.355041681,0.467964596
0.2841,1.3654,1.325042345,0.333887108,0.442414557
0.2852,1.2937,1.330166124,0.312433319,0.415588217
0.2861,1.2231,1.334358306,0.291308667,0.38871014
0.2869,1.1518,1.338084691,0.269974564,0.361248832
0.2873,1.0804,1.339947883,0.24861054,0.333125167
0.2876,1.0091,1.341345277,0.227276437,0.304856176
0.2878,0.9383,1.342276873,0.206091943,0.276632448
0.288,0.8672,1.343208469,0.184817683,0.248248677
0.2882,0.7965,1.344140065,0.16366311,0.219986143
0.2882,0.7247,1.344140065,0.142179399,0.191109027
0.2882,0.6538,1.344140065,0.120964983,0.16259388
0.2882,0.582,1.344140065,0.099481272,0.133716763
0.288,0.51,1.343208469,0.077937718,0.104686603
0.288,0.4395,1.343208469,0.056842988,0.076351983
0.2878,0.3692,1.342276873,0.035808101,0.048064386
0.2878,0.2979,1.342276873,0.014473998,0.019428113
0.2876,0.2272,1.341345277,-0.006680575,-0.008960958
0.2874,0.1569,1.340413681,-0.027715462,-0.037150184
0.2874,0.0863,1.340413681,-0.048840113,-0.065465956
0.2873,0.0159,1.339947883,-0.069904922,-0.093668952
0.2871,-0.0549,1.339016287,-0.091089416,-0.121970212
0.2869,-0.1252,1.338084691,-0.112124303,-0.150031813
0.2859,-0.1877,1.33342671,-0.130825305,-0.174445956
0.2818,-0.2306,1.31432899,-0.143661672,-0.188818701
0.2734,-0.2578,1.275201954,-0.151800348,-0.193576101
0.2629,-0.2736,1.22629316,-0.156527962,-0.191949169
