ICell,VCell,Cell_Current,Cell_Voltage,Cell_Power
0.0602,2.1992,0.282120521,0.583373432,0.164581617
0.0602,2.199,0.282120521,0.583313589,0.164564734
0.0602,2.199,0.282120521,0.583313589,0.164564734
0.0602,2.199,0.282120521,0.583313589,0.164564734
0.0602,2.199,0.282120521,0.583313589,0.164564734
0.0602,2.199,0.282120521,0.583313589,0.164564734
0.0943,2.1248,0.440957655,0.56111176,0.247426526
0.1209,2.0524,0.564859935,0.539448519,0.304712855
0.1361,1.9991,0.635661238,0.523500305,0.332768852
0.1459,1.9455,0.681309446,0.507462326,0.345738876
0.1532,1.8921,0.715312704,0.49148419,0.351564885
0.1586,1.8315,0.740465798,0.473351699,0.350500743
0.1628,1.7721,0.760029316,0.455578267,0.346252838
0.1661,1.71,0.775400651,0.436996951,0.338847721
0.1687,1.6442,0.787511401,0.417308537,0.32863523
0.1708,1.5765,0.79729316,0.397051611,0.316566534
0.1725,1.5086,0.805211726,0.376734843,0.303351313
0.1738,1.4406,0.811267101,0.356388153,0.289125984
0.1747,1.3702,0.815459283,0.335323345,0.273442535
0.1757,1.3003,0.820117264,0.314408145,0.257851547
0.1762,1.2313,0.822446254,0.293762239,0.241603653
0.1766,1.161,0.824309446,0.272727352,0.224811732
0.1768,1.0913,0.825241042,0.251871995,0.207855108
0.177,1.0211,0.826172638,0.23086703,0.190736023
0.1772,0.9503,0.827104235,0.209682535,0.173429312
0.1772,0.8799,0.827104235,0.188617726,0.15600652
0.1774,0.8104,0.828035831,0.167822213,0.138962805
0.1774,0.7402,0.828035831,0.146817247,0.121569941
0.1772,0.6711,0.827104235,0.12614142,0.104332103
0.1772,0.6008,0.827104235,0.105106533,0.086934059
0.1772,0.5306,0.827104235,0.084101568,0.069560763
0.1772,0.4598,0.827104235,0.062917073,0.052038978
0.177,0.3904,0.826172638,0.042151481,0.0348244
0.177,0.3214,0.826172638,0.021505575,0.017767318
0.1768,0.2529,0.825241042,0.001009277,0.000832897
0.1768,0.1839,0.825241042,-0.019636629,-0.016204952
0.1766,0.1164,0.824309446,-0.039833711,-0.032835304
0.1766,0.0488,0.824309446,-0.060060714,-0.049508614
0.1764,-0.0184,0.82337785,-0.080168031,-0.066008581
0.1762,-0.0861,0.822446254,-0.100424956,-0.082594129
0.1761,-0.1517,0.821980456,-0.120053528,-0.098681654
0.1744,-0.207,0.814061889,-0.136600174,-0.111200996
0.1684,-0.2437,0.786114007,-0.147581402,-0.116015808
0.1588,-0.2659,0.741397394,-0.154223998,-0.11434127
0.1481,-0.2788,0.691557003,-0.158083885,-0.109324018
0.1384,-0.2863,0.646374593,-0.160328005,-0.103631949
