ICell,VCell,Cell_Current,Cell_Voltage,Cell_Power
0.0596,2.5065,0.279325733,0.675322517,0.188634957
0.0596,2.5063,0.279325733,0.675262674,0.188618241
0.0596,2.5061,0.279325733,0.675202831,0.188601526
0.075,2.5014,0.351058632,0.673796516,0.236542083
0.1013,2.4988,0.473563518,0.673018554,0.318717034
0.1446,2.5031,0.675254072,0.674305183,0.45532732
0.1747,2.4958,0.815459283,0.672120906,0.548087232
0.1957,2.4819,0.913276873,0.667961803,0.610034067
0.2167,2.4656,1.011094463,0.663084582,0.670441149
0.2436,2.4448,1.136394137,0.656860889,0.746452862
0.2807,2.4188,1.309205212,0.649081272,0.849780584
0.3484,2.3758,1.624550489,0.636214983,1.033563361
0.432,2.3211,2.013957655,0.619847866,1.248347354
0.5274,2.2581,2.45832899,0.600997256,1.477448978
0.6296,2.1848,2.934374593,0.579064721,1.699192806
0.7311,2.1084,3.407159609,0.556204617,1.895077905
0.8286,2.028,3.861312704,0.532147648,2.054788474
0.9128,1.9504,4.253514658,0.508928484,2.164734768
0.9853,1.8712,4.591218241,0.485230575,2.227799467
1.0476,1.7857,4.881410423,0.459647605,2.243728608
1.092,1.7055,5.088224756,0.435650479,2.216687553
1.1201,1.6292,5.219114007,0.412820296,2.15455619
1.1421,1.5521,5.321589577,0.38975074,2.074093478
1.158,1.476,5.395651466,0.366980401,1.980098337
1.1698,1.3993,5.450615635,0.344030531,1.875178193
1.1773,1.3251,5.485550489,0.321828702,1.765407594
1.1807,1.2531,5.501387622,0.300285148,1.651984997
1.1814,1.1904,5.504648208,0.281524303,1.549692251
1.1816,1.1248,5.505579805,0.261895732,1.441887851
1.1824,1.0582,5.509306189,0.241967944,1.333075493
1.185,0.9928,5.521416938,0.222399216,1.227958798
1.1871,0.9274,5.531198697,0.202830488,1.12189573
1.1886,0.8689,5.538185668,0.18532635,1.026371736
1.1891,0.8072,5.540514658,0.166864721,0.924516434
1.188,0.7457,5.535390879,0.148462936,0.821800379
1.1871,0.678,5.531198697,0.12820601,0.709132918
1.1856,0.6054,5.524211726,0.106482927,0.588234233
1.1863,0.5276,5.527472313,0.08320392,0.459907363
1.1882,0.4493,5.536322476,0.059775305,0.330935364
1.1906,0.3686,5.547501629,0.035628571,0.197649558
1.1919,0.2837,5.553557003,0.010225131,0.056785846

