ICell,VCell,Cell_Current,Cell_Voltage,Cell_Power
0.0587,2.4696,0.27513355,0.664281446,0.182766113
0.0707,2.4578,0.331029316,0.660750697,0.218727851
0.1873,2.3809,0.874149837,0.637740984,0.557481178
0.2963,2.3104,1.381869707,0.616646254,0.852124779
0.4001,2.2416,1.865368078,0.596060192,1.111871654
0.5002,2.1733,2.331631922,0.575623737,1.34214268
0.5966,2.1047,2.780661238,0.555097517,1.54353815
0.6881,2.0357,3.20686645,0.534451611,1.713914942
0.7744,1.9661,3.608850163,0.513626176,1.853599909
0.8571,1.8969,3.994065147,0.492920427,1.968756297
0.9308,1.8281,4.337358306,0.472334364,2.048683377
0.9973,1.7587,4.647114007,0.451568772,2.098491564
1.0579,1.6877,4.929387622,0.430324434,2.121235937
1.113,1.6149,5.186042345,0.408541507,2.118713555
1.1576,1.5384,5.393788274,0.385651481,2.080122435
1.1946,1.4625,5.56613355,0.362940984,2.02017799
1.2298,1.3854,5.730094463,0.339871429,1.947495391
1.2577,1.3091,5.860052117,0.317041246,1.857878223
1.2759,1.2311,5.944827362,0.293702395,1.746010037
1.2922,1.1531,6.020752443,0.270363545,1.627791976
1.3089,1.0702,6.098540717,0.245558537,1.497548734
1.3149,0.9853,6.126488599,0.220155096,1.348777685
1.3179,0.9094,6.140462541,0.197444599,1.212401166
1.3254,0.8475,6.175397394,0.178923127,1.104921413
1.3288,0.7935,6.191234528,0.162765462,1.007719146
1.3266,0.7391,6.180986971,0.14648811,0.905441098
1.3288,0.6795,6.191234528,0.128654834,0.796532253
1.3342,0.6124,6.216387622,0.108577439,0.674959448
1.3322,0.5439,6.207071661,0.088081141,0.546725955
1.3301,0.4748,6.197289902,0.067405314,0.417730269
1.3342,0.4052,6.216387622,0.046579878,0.289558577
1.3352,0.3343,6.221045603,0.025365462,0.157799694
1.3311,0.2659,6.201947883,0.004899085,0.030383872

